accept,except
advise,advice
affect,effect
begin,being
bitch,pitch
brakes,breaks
breath,breadth
burrows,borrows
capitol,capital
cite,sight,site
cords,chords
corse,course
country,county
crap,crab
dessert,desert
ease,easy
effects,affects
extend,extent
feet,feat
few,view
form,from
forth,fourth
forums,forms
fund,found
its,it's
lead,led
life,live
loose,lose
mad,made
manly,mainly
or,ore
passed,past
peace,piece
plane,plain
principal,principle
provence,province
quite,quiet
raise,rise
safe,save
simulate,stimulate
spit,split
than,then
their,there,they
theme,them
things,thinks
trail,trial
tree,three
two,too,to
weak,week
weather,whether
weed,wheat
where,were
which,witch
whole,hole
with,width
world,word
you,your
