confusion_set;num_matches;num_sentences
Being,begin,being;0;231
Capital,Capitol,capital;0;52
Country,County,country,county;3;145
Desert,desert,dessert;0;7
Easy,ease,easy;0;32
Effect,affect,effect;0;32
Effects,affects,effects;0;23
Except,accept,except;0;21
Few,View,few,view;0;109
Form,From,form,from;1;919
Found,Fund,found,fund;0;129
Fourth,forth,fourth;0;37
Hole,Whole,hole,whole;1;34
Lead,Led,lead,led;0;97
Life,Live,life,live;1;166
Mad,Made,mad,made;0;157
Or,or,ore;0;454
Past,passed,past;0;81
Peace,Piece,peace,piece;0;32
Plain,plain,plane;0;13
Principal,principal,principle;0;13
Provence,Province,province;0;10
Quiet,Quite,quiet,quite;0;39
Rise,raise,rise;0;36
Safe,Save,safe,save;0;53
Site,sight,site;0;30
Split,spit,split;0;9
Than,Then,than,then;0;446
Their,There,They,their,there,they;3;1860
Them,Theme,them,theme;1;261
Things,things,thinks;0;70
Three,Tree,three,tree;0;184
To,Too,Two,to,too,two;1;6034
Trail,Trial,trail,trial;0;34
Weather,Whether,weather,whether;0;66
Week,weak,week;0;131
Were,Where,were,where;0;650
Which,Witch,which,witch;0;443
With,width,with;0;1556
Word,World,word,world;0;167
You,Your,you,your;2;998
advice,advise;0;21
bitch,pitch;0;7
brakes,breaks;0;7
crab,crap;0;2
extend,extent;0;16
feat,feet;0;22
forms,forums;0;3
loose,lose;0;20
weed,wheat;0;1
