confusion_set;num_matches;num_sentences
Being,begin,being;462;462
Capital,Capitol,capital;99;104
Country,County,country,county;405;435
Desert,desert,dessert;14;14
Easy,ease,easy;63;64
Effect,affect,effect;61;64
Effects,affects,effects;46;46
Except,accept,except;40;42
Few,View,few,view;327;327
Form,From,form,from;2744;2757
Found,Fund,found,fund;386;387
Fourth,forth,fourth;74;74
Hole,Whole,hole,whole;98;102
Lead,Led,lead,led;283;291
Life,Live,life,live;482;498
Mad,Made,mad,made;471;471
Or,or,ore;908;908
Past,passed,past;160;162
Peace,Piece,peace,piece;95;96
Plain,plain,plane;25;26
Principal,principal,principle;24;26
Provence,Province,province;20;20
Quiet,Quite,quiet,quite;117;117
Rise,raise,rise;65;72
Safe,Save,safe,save;155;159
Site,sight,site;59;60
Split,spit,split;18;18
Than,Then,than,then;1327;1338
Their,There,They,their,there,they;9247;9300
Them,Theme,them,theme;779;783
Things,things,thinks;139;140
Three,Tree,three,tree;549;552
To,Too,Two,to,too,two;30086;30170
Trail,Trial,trail,trial;96;102
Weather,Whether,weather,whether;198;198
Week,weak,week;261;262
Were,Where,were,where;1944;1950
Which,Witch,which,witch;1329;1329
With,width,with;3112;3112
Word,World,word,world;492;501
You,Your,you,your;2964;2994
advice,advise;21;21
bitch,pitch;7;7
brakes,breaks;7;7
crab,crap;1;2
extend,extent;16;16
feat,feet;21;22
forms,forums;3;3
loose,lose;19;20
weed,wheat;1;1
