word,frequency
accept,9
advice,20
advise,1
affect,9
affects,4
begin,19
being,212
bitch,0
brakes,0
breaks,7
capital,50
capitol,5
country,101
county,44
crab,2
crap,1
desert,3
dessert,4
ease,5
easy,27
effect,23
effects,19
except,12
extend,9
extent,7
feat,4
feet,19
few,88
form,30
forms,3
forth,7
forums,0
found,99
fourth,30
from,889
fund,30
hole,8
lead,56
led,44
life,115
live,51
loose,3
lose,18
mad,2
made,155
or,454
ore,0
passed,24
past,57
peace,19
piece,13
pitch,7
plain,2
plane,11
principal,10
principle,3
provence,0
province,10
quiet,11
quite,28
raise,11
rise,25
safe,41
save,13
sight,3
site,28
spit,0
split,9
than,287
their,680
them,251
theme,10
then,159
there,417
they,763
things,61
thinks,10
three,172
to,5659
too,72
trail,16
tree,12
trial,18
two,303
view,21
weak,3
weather,24
weed,0
week,128
were,471
wheat,1
where,179
whether,42
which,441
whole,26
width,0
witch,2
with,1556
word,20
world,147
you,737
your,263
