word,frequency
accept,855
advice,1225
advise,204
affect,877
affects,336
begin,1818
being,20207
bitch,36
brakes,60
breaks,504
capital,5111
capitol,502
country,10250
county,6158
crab,89
crap,59
desert,330
dessert,131
ease,589
easy,2665
effect,1803
effects,1191
except,654
extend,687
extent,533
feat,208
feet,1663
few,7884
form,3061
forms,751
forth,434
forums,86
found,8732
fourth,3926
from,93514
fund,3352
hole,659
lead,5629
led,4981
life,12455
live,5742
loose,390
lose,1476
mad,294
made,16381
or,47618
ore,94
passed,2280
past,6860
peace,1747
piece,1562
pitch,1145
plain,274
plane,673
principal,662
principle,269
provence,12
province,1053
quiet,725
quite,3070
raise,1729
rise,2078
safe,2954
save,2261
sight,539
site,3293
spit,59
split,895
than,25545
their,64583
them,25585
theme,800
then,16907
there,43007
they,71615
things,8471
thinks,681
three,17217
to,563011
too,8585
trail,799
tree,1206
trial,2088
two,30430
view,2433
weak,491
weather,2376
weed,159
week,12609
were,45467
wheat,155
where,17746
whether,5228
which,40611
whole,3147
width,65
witch,188
with,154482
word,1497
world,15017
you,73006
your,26459
