word;sentence_indices;frequency
Except;187686,214438,214439,214440,214441,214442,214443,214444,214445,214446,214447,214448,214450,214451,214452,214453,214454,214455,214456,214457,214458,214459,214460,214461,214462,214463,214464,214465,214466,214467,214468,214469;32
accept;1446,1461,4711,5129,6646,8918,9916,10292,12969,13829,14715,15674,16351,17760,18450,19743,20835,21789,23261,24483,27428,27572,28374,28783,29396,29466,29862,30247,31760,31822,33737,34576,34778,35165,343880;35
except;3982,4342,10214,10318,11689,11823,12423,13585,14078,17349,21941,29174,29175,29176,29180,29605,29690,29759,30019,30554,30625,30745,30789,31102,31341,31514,32604,32694,33490,38085,47011,50437,51472,52692,93132,264078,297563,337762;38
advice;3166,4758,7965,9957,10446,10849,11056,11134,12429,13406,13469,13870,14485,14757,14928,14955,16659,20483,20590,20713,20956,22407,22513,23241,25013,25245,25544,25651,26009,27136,27144,27451,27807,29366,29691,32365,32567,33768,33769,33769,33899,36214,36519,36949,41608,42152,43845,44014,44043,44380,44542,69980,110606,300575;54
advise;4106,4169,9807,22973,27943,31831,32667,37323,38055,44003,52600,54207,69980,75155,76202,76257,79201,85234,85327,85327,86373,88255,88887,98884,111776,111806,116029,123620,127253,135307,136892,144315,159387,163785,178187,181871,186946,187783,188366,207102,218366,234601,236498,237774,264760,269481,272005,277965,306130,306840,313322;51
Effect;77,1482,21088,44795,102697,118430,126464,128882,172504,202113,202114,202115,202116,202117,231219,242374,246861,247857,262397,272846,315133,342108,360090,363635,364634,365758,390542,392751,418382,427829,431813,451541,463829;33
affect;3570,3765,5367,6271,6903,7221,8904,9003,9108,9439,11550,12315,12647,12965,15689,16652,22942,24665,25329,31206,31206,31570,33645,33801,34374,35834,35913,36865,38261,38348,39282,39752,40934,44933,48335,57946,59149,75919;38
effect;290,308,1401,2184,3678,4098,4571,6215,6647,8073,8842,9098,9142,10245,11454,11640,11863,12766,12849,13270,13329,13452,13499,13500,13763,13971,14230,15020,15405,15856,16196,16226,16227,16228,22050,25830,25831,26503,32694,33621,38283,41722,50039,64724,109971,179298,183133,219803;48
Being;1811,18237,21397,30580,32830,34252,56819,73274,86576,92142,93216,98752,110594,110595,110596,110597,110598,110599,110600,110601,110602,110603,110604,110605,110606,110607,110608,110609,110610,110611,110612,110613,110614,110615,110960,110989,116748,123305;38
begin;31,1089,1828,2135,2141,2791,4779,5336,5858,6461,7255,7826,8209,8248,8514,9005,9253,9590,9754,9754,10666,13516,13693,14045,14300,14886,16106,16109,16165,16206,17058,17792,17994,18513,18798,43492,84905,88986,101351,110148,376420;41
